Website Principal,Website Category,Website JSON File,Present on Website,Same Principal Excel Status,Closest Same-Principal Excel Category,Same-Principal Confidence %,Anywhere in Excel Status,Closest Excel Category Anywhere,Excel Principal for Closest Match,Global Confidence %,Recommended Action
Advion Interchim Scientific,AVANT (U)HPLC,avant-u-hplc.json,Yes,Missing,Chromatography Systems (Analytical & Preparative),26,Missing,Rotary Vane Vacuum Pumps,Vacuubrand,46,Add category to the Excel sheet
Advion Interchim Scientific,Expression CMS,expression-cms.json,Yes,Missing,Fraction Collectors,38,Missing,Evaporation Systems,SP Genevac,48,Add category to the Excel sheet
Advion Interchim Scientific,Flash Purification Systems,flash-purification-systems.json,Yes,Missing,Flash Chromatography Systems,53,Related / partial,Solvent Purification Systems,Labstation i,74,Add/review — only a related category exists in the sheet
Advion Interchim Scientific,Peripheral Production Devices,peripheral-production-devices.json,Yes,Missing,Fraction Collectors,43,Missing,Pilot & Production Homogenizers,Gea,60,Add category to the Excel sheet
Advion Interchim Scientific,Plate Express,plate-express.json,Yes,Missing,LC-MS Systems,33,Missing,Polarimeters,Mettler Toledo,50,Add category to the Excel sheet
Advion Interchim Scientific,Preparative Purification Systems,preparative-purification-systems.json,Yes,Related / partial,Preparative Chromatography Systems,64,Equivalent wording,Preparative HPLC & Purification Systems,Waters,84,Review wording or add as a separate category under this principal
Advion Interchim Scientific,Solation ICP-MS,solation-icp-ms.json,Yes,Missing,LC-MS Systems,50,Missing,LC-MS Systems,Advion Interchim Scientific,50,Add category to the Excel sheet
Advion Interchim Scientific,TriVersa NanoMate,triversa-nanomate.json,Yes,Missing,Preparative Chromatography Systems,42,Missing,Tri-Gas CO2 incubators,Being,42,Add category to the Excel sheet
Affinite Instruments,Compact Surface Plasmon Resonance (SPR) Systems,compact-surface-plasmon-resonance-spr-systems.json,Yes,Exact,Compact Surface Plasmon Resonance (SPR) Systems,100,Exact,Compact Surface Plasmon Resonance (SPR) Systems,Affinite Instruments,100,No action — category represented under same principal
Affinite Instruments,SPR Instrument Control and Analysis Software,spr-instrument-control-and-analysis-software.json,Yes,Missing,Compact Surface Plasmon Resonance (SPR) Systems,9,Missing,Automation & Control Systems (PLC / Software Driven),Labomatic,51,Add category to the Excel sheet
